=== Monitoring started at Mon May 26 02:06:11 EDT 2025 ===
--- 2025-05-26 02:06:11 ---
  66821   4 ptlrpcd_00_34   R
  66822  62 ptlrpcd_00_35   R
  66823  23 ptlrpcd_00_36   R
  66824  56 ptlrpcd_00_37   R
  66825  57 ptlrpcd_00_38   I
  66826  24 ptlrpcd_00_39   I
  66827  45 ptlrpcd_00_40   I
  66828   3 ptlrpcd_00_41   I
  66829   5 ptlrpcd_00_42   I
  66830  49 ptlrpcd_00_43   R
  66831  26 ptlrpcd_00_44   R
  66832  42 ptlrpcd_00_45   R
  66833  52 ptlrpcd_00_46   R
  66834  36 ptlrpcd_00_47   I
  66835  55 ptlrpcd_00_48   R
  66836  61 ptlrpcd_00_49   R
  66837  31 ptlrpcd_00_50   I
  66838  38 ptlrpcd_00_51   R
  66839  29 ptlrpcd_00_52   R
  66840  25 ptlrpcd_00_53   I
  66841   2 ptlrpcd_00_54   I
  66842  29 ptlrpcd_00_55   I
  66843  57 ptlrpcd_00_56   I
  66844  30 ptlrpcd_00_57   R
  66845  53 ptlrpcd_00_58   I
  66846  37 ptlrpcd_00_59   R
  66847  50 ptlrpcd_00_60   I
  66848   1 ptlrpcd_00_61   I
  66849  15 ptlrpcd_00_62   I
  66850  44 ptlrpcd_00_63   R
  66851  96 ptlrpcd_01_00   R
  66852 102 ptlrpcd_01_01   I
  66853  99 ptlrpcd_01_02   R
  66854 111 ptlrpcd_01_03   I
  66855  74 ptlrpcd_01_04   I
  66856  96 ptlrpcd_01_05   I
  66857  96 ptlrpcd_01_06   R
  66858 125 ptlrpcd_01_07   I
  66859  70 ptlrpcd_01_08   R
  66860 110 ptlrpcd_01_09   I
  66861  64 ptlrpcd_01_10   I
  66862 125 ptlrpcd_01_11   I
  66863  98 ptlrpcd_01_12   R
  66864  67 ptlrpcd_01_13   I
  66865  69 ptlrpcd_01_14   I
  66866 100 ptlrpcd_01_15   R
  66867  87 ptlrpcd_01_16   R
  66868 120 ptlrpcd_01_17   I
  66869  93 ptlrpcd_01_18   R
  66870  78 ptlrpcd_01_19   R
  66871 125 ptlrpcd_01_20   I
  66872 103 ptlrpcd_01_21   I
  66873 107 ptlrpcd_01_22   R
  66874  81 ptlrpcd_01_23   R
  66875  82 ptlrpcd_01_24   R
  66876 100 ptlrpcd_01_25   R
  66877 100 ptlrpcd_01_26   R
  66878 112 ptlrpcd_01_27   R
  66879 125 ptlrpcd_01_28   R
  66880 125 ptlrpcd_01_29   R
  66881 106 ptlrpcd_01_30   R
  66882  80 ptlrpcd_01_31   I
  66883 104 ptlrpcd_01_32   R
  66884 105 ptlrpcd_01_33   I
  66885 103 ptlrpcd_01_34   I
  66886 102 ptlrpcd_01_35   I
  66887  64 ptlrpcd_01_36   I
  66888  65 ptlrpcd_01_37   I
  66889  94 ptlrpcd_01_38   R
  66890  85 ptlrpcd_01_39   I
  66891  97 ptlrpcd_01_40   I
  66892  73 ptlrpcd_01_41   I
  66893  68 ptlrpcd_01_42   R
  66894  94 ptlrpcd_01_43   I
  66895  93 ptlrpcd_01_44   I
  66896 105 ptlrpcd_01_45   I
  66897  92 ptlrpcd_01_46   I
  66898  90 ptlrpcd_01_47   R
  66899  89 ptlrpcd_01_48   I
  66900 123 ptlrpcd_01_49   R
  66901  77 ptlrpcd_01_50   R
  66902  95 ptlrpcd_01_51   I
  66903  83 ptlrpcd_01_52   R
  66904 101 ptlrpcd_01_53   R
  66905 109 ptlrpcd_01_54   R
  66906  72 ptlrpcd_01_55   R
  66907 111 ptlrpcd_01_56   R
  66908  94 ptlrpcd_01_57   I
  66909  94 ptlrpcd_01_58   I
  66910  91 ptlrpcd_01_59   R
  66911 121 ptlrpcd_01_60   I
  66912 112 ptlrpcd_01_61   I
  66913  87 ptlrpcd_01_62   I
  66914  83 ptlrpcd_01_63   R
  67440  37 monitor_ptlrpcd S
  67441  14 monitor_ptlrpcd S

--- 2025-05-26 02:06:18 ---
  66786  96 ptlrpcd_rcv     I
  66787   4 ptlrpcd_00_00   I
  66788  48 ptlrpcd_00_01   R
  66789  11 ptlrpcd_00_02   R
  66790   9 ptlrpcd_00_03   R
  66791  47 ptlrpcd_00_04   R
  66792   4 ptlrpcd_00_05   I
  66793  57 ptlrpcd_00_06   I
  66794  21 ptlrpcd_00_07   I
  66795  20 ptlrpcd_00_08   I
  66796   4 ptlrpcd_00_09   I
  66797  40 ptlrpcd_00_10   R
  66798  63 ptlrpcd_00_11   I
  66799   0 ptlrpcd_00_12   I
  66800  52 ptlrpcd_00_13   I
  66801  24 ptlrpcd_00_14   I
  66802  57 ptlrpcd_00_15   I
  66803  41 ptlrpcd_00_16   R
  66804  24 ptlrpcd_00_17   I
  66805  35 ptlrpcd_00_18   I
  66806  37 ptlrpcd_00_19   I
  66807  31 ptlrpcd_00_20   I
  66808  43 ptlrpcd_00_21   I
  66809  44 ptlrpcd_00_22   I
  66810  57 ptlrpcd_00_23   I
  66811  40 ptlrpcd_00_24   I
  66812  31 ptlrpcd_00_25   R
  66813  42 ptlrpcd_00_26   I
  66814  27 ptlrpcd_00_27   R
  66815   4 ptlrpcd_00_28   I
  66816  20 ptlrpcd_00_29   R
  66817  17 ptlrpcd_00_30   R
  66818  39 ptlrpcd_00_31   I
  66819  43 ptlrpcd_00_32   R
  66820  60 ptlrpcd_00_33   I
  66821   0 ptlrpcd_00_34   R
  66822  39 ptlrpcd_00_35   I
  66823  46 ptlrpcd_00_36   R
  66824  23 ptlrpcd_00_37   I
  66825  38 ptlrpcd_00_38   I
  66826  16 ptlrpcd_00_39   I
  66827   5 ptlrpcd_00_40   I
  66828  51 ptlrpcd_00_41   I
  66829   9 ptlrpcd_00_42   I
  66830  60 ptlrpcd_00_43   I
  66831  12 ptlrpcd_00_44   R
  66832  12 ptlrpcd_00_45   R
  66833  16 ptlrpcd_00_46   I
  66834  37 ptlrpcd_00_47   I
  66835  57 ptlrpcd_00_48   I
  66836  51 ptlrpcd_00_49   I
  66837  22 ptlrpcd_00_50   R
  66838  38 ptlrpcd_00_51   I
  66839  13 ptlrpcd_00_52   R
  66840   1 ptlrpcd_00_53   I
  66841  30 ptlrpcd_00_54   R
  66842  26 ptlrpcd_00_55   R
  66843  55 ptlrpcd_00_56   R
  66844  49 ptlrpcd_00_57   I
  66845  49 ptlrpcd_00_58   R
  66846  55 ptlrpcd_00_59   R
  66847  45 ptlrpcd_00_60   R
  66848  52 ptlrpcd_00_61   R
  66849  61 ptlrpcd_00_62   R
  66850  23 ptlrpcd_00_63   I
  66851  64 ptlrpcd_01_00   I
  66852 123 ptlrpcd_01_01   I
  66853 114 ptlrpcd_01_02   R
  66854  93 ptlrpcd_01_03   I
  66855 125 ptlrpcd_01_04   I
  66856  68 ptlrpcd_01_05   I
  66857  69 ptlrpcd_01_06   R
  66858 122 ptlrpcd_01_07   I
  66859 100 ptlrpcd_01_08   I
  66860  80 ptlrpcd_01_09   I
  66861  74 ptlrpcd_01_10   I
  66862 122 ptlrpcd_01_11   I
  66863  93 ptlrpcd_01_12   I
  66864  98 ptlrpcd_01_13   I
  66865  79 ptlrpcd_01_14   R
  66866 126 ptlrpcd_01_15   I
  66867 125 ptlrpcd_01_16   I
  66868  92 ptlrpcd_01_17   I
  66869 123 ptlrpcd_01_18   I
  66870 107 ptlrpcd_01_19   I
  66871  92 ptlrpcd_01_20   I
  66872 107 ptlrpcd_01_21   I
  66873  94 ptlrpcd_01_22   R
  66874 117 ptlrpcd_01_23   I
  66875 101 ptlrpcd_01_24   R
  66876 111 ptlrpcd_01_25   I
  66877  92 ptlrpcd_01_26   I
  66878 119 ptlrpcd_01_27   R
  66879 112 ptlrpcd_01_28   I
  66880  68 ptlrpcd_01_29   I
  66881 119 ptlrpcd_01_30   R
  66882 115 ptlrpcd_01_31   R
  66883  64 ptlrpcd_01_32   R
  66884 106 ptlrpcd_01_33   I
  66885 115 ptlrpcd_01_34   R
  66886  68 ptlrpcd_01_35   I
  66887  70 ptlrpcd_01_36   R
  66888 103 ptlrpcd_01_37   R
  66889 125 ptlrpcd_01_38   R
  66890  64 ptlrpcd_01_39   I
  66891 103 ptlrpcd_01_40   I
  66892 125 ptlrpcd_01_41   I
  66893 117 ptlrpcd_01_42   I
  66894 120 ptlrpcd_01_43   R
  66895  92 ptlrpcd_01_44   I
  66896 104 ptlrpcd_01_45   R
  66897  78 ptlrpcd_01_46   R
  66898  92 ptlrpcd_01_47   I
  66899  84 ptlrpcd_01_48   R
  66900  76 ptlrpcd_01_49   R
  66901 120 ptlrpcd_01_50   R
  66902 125 ptlrpcd_01_51   I
  66903  81 ptlrpcd_01_52   R
  66904  88 ptlrpcd_01_53   R
  66905  77 ptlrpcd_01_54   I
  66906  80 ptlrpcd_01_55   I
  66907 100 ptlrpcd_01_56   I
  66908  73 ptlrpcd_01_57   I
  66909 116 ptlrpcd_01_58   R
  66910  99 ptlrpcd_01_59   R
  66911  74 ptlrpcd_01_60   I
  66912 117 ptlrpcd_01_61   I
  66913 111 ptlrpcd_01_62   I
  66914  84 ptlrpcd_01_63   R
  67440  37 monitor_ptlrpcd S
  67441  58 monitor_ptlrpcd S

--- 2025-05-26 02:06:19 ---
  66786  96 ptlrpcd_rcv     I
  66787  19 ptlrpcd_00_00   R
  66788  17 ptlrpcd_00_01   I
  66789  48 ptlrpcd_00_02   R
  66790  45 ptlrpcd_00_03   R
  66791  58 ptlrpcd_00_04   R
  66792  28 ptlrpcd_00_05   R
  66793  16 ptlrpcd_00_06   I
  66794  59 ptlrpcd_00_07   R
  66795  13 ptlrpcd_00_08   I
  66796  17 ptlrpcd_00_09   R
  66797  53 ptlrpcd_00_10   I
  66798   3 ptlrpcd_00_11   I
  66799  19 ptlrpcd_00_12   I
  66800  42 ptlrpcd_00_13   I
  66801  43 ptlrpcd_00_14   R
  66802  40 ptlrpcd_00_15   R
  66803  23 ptlrpcd_00_16   I
  66804  41 ptlrpcd_00_17   R
  66805  37 ptlrpcd_00_18   I
  66806  37 ptlrpcd_00_19   I
  66807  54 ptlrpcd_00_20   I
  66808  15 ptlrpcd_00_21   I
  66809  52 ptlrpcd_00_22   R
  66810  49 ptlrpcd_00_23   I
  66811  22 ptlrpcd_00_24   I
  66812  57 ptlrpcd_00_25   I
  66813  28 ptlrpcd_00_26   I
  66814  53 ptlrpcd_00_27   R
  66815  12 ptlrpcd_00_28   I
  66816  46 ptlrpcd_00_29   I
  66817  56 ptlrpcd_00_30   I
  66818  36 ptlrpcd_00_31   I
  66819  39 ptlrpcd_00_32   I
  66820  32 ptlrpcd_00_33   I
  66821  24 ptlrpcd_00_34   R
  66822  18 ptlrpcd_00_35   I
  66823  27 ptlrpcd_00_36   R
  66824  54 ptlrpcd_00_37   I
  66825  36 ptlrpcd_00_38   I
  66826  32 ptlrpcd_00_39   I
  66827  23 ptlrpcd_00_40   I
  66828  30 ptlrpcd_00_41   R
  66829  54 ptlrpcd_00_42   I
  66830  43 ptlrpcd_00_43   I
  66831  18 ptlrpcd_00_44   I
  66832  50 ptlrpcd_00_45   I
  66833  25 ptlrpcd_00_46   I
  66834   8 ptlrpcd_00_47   I
  66835  63 ptlrpcd_00_48   I
  66836  37 ptlrpcd_00_49   I
  66837   8 ptlrpcd_00_50   R
  66838  29 ptlrpcd_00_51   I
  66839   9 ptlrpcd_00_52   I
  66840  36 ptlrpcd_00_53   I
  66841  63 ptlrpcd_00_54   I
  66842  27 ptlrpcd_00_55   I
  66843  36 ptlrpcd_00_56   I
  66844  55 ptlrpcd_00_57   R
  66845  46 ptlrpcd_00_58   R
  66846  20 ptlrpcd_00_59   I
  66847  49 ptlrpcd_00_60   I
  66848  14 ptlrpcd_00_61   R
  66849  62 ptlrpcd_00_62   R
  66850  20 ptlrpcd_00_63   I
  66851  90 ptlrpcd_01_00   I
  66852 101 ptlrpcd_01_01   R
  66853  99 ptlrpcd_01_02   I
  66854  84 ptlrpcd_01_03   R
  66855 117 ptlrpcd_01_04   I
  66856 116 ptlrpcd_01_05   I
  66857 115 ptlrpcd_01_06   I
  66858  97 ptlrpcd_01_07   R
  66859 103 ptlrpcd_01_08   I
  66860  74 ptlrpcd_01_09   I
  66861  74 ptlrpcd_01_10   I
  66862  78 ptlrpcd_01_11   R
  66863 110 ptlrpcd_01_12   R
  66864 105 ptlrpcd_01_13   R
  66865  84 ptlrpcd_01_14   I
  66866  83 ptlrpcd_01_15   I
  66867  70 ptlrpcd_01_16   I
  66868  65 ptlrpcd_01_17   I
  66869  76 ptlrpcd_01_18   I
  66870  94 ptlrpcd_01_19   I
  66871 108 ptlrpcd_01_20   I
  66872  71 ptlrpcd_01_21   I
  66873 109 ptlrpcd_01_22   R
  66874 100 ptlrpcd_01_23   I
  66875 103 ptlrpcd_01_24   R
  66876  96 ptlrpcd_01_25   I
  66877  95 ptlrpcd_01_26   I
  66878  84 ptlrpcd_01_27   I
  66879  94 ptlrpcd_01_28   I
  66880  88 ptlrpcd_01_29   I
  66881  69 ptlrpcd_01_30   I
  66882  77 ptlrpcd_01_31   R
  66883 107 ptlrpcd_01_32   R
  66884 104 ptlrpcd_01_33   R
  66885  68 ptlrpcd_01_34   I
  66886 126 ptlrpcd_01_35   R
  66887  67 ptlrpcd_01_36   I
  66888  86 ptlrpcd_01_37   R
  66889  67 ptlrpcd_01_38   I
  66890 126 ptlrpcd_01_39   I
  66891 106 ptlrpcd_01_40   I
  66892  67 ptlrpcd_01_41   I
  66893  68 ptlrpcd_01_42   I
  66894 126 ptlrpcd_01_43   I
  66895  72 ptlrpcd_01_44   I
  66896  82 ptlrpcd_01_45   I
  66897  85 ptlrpcd_01_46   I
  66898 111 ptlrpcd_01_47   R
  66899 119 ptlrpcd_01_48   I
  66900 121 ptlrpcd_01_49   I
  66901  73 ptlrpcd_01_50   R
  66902 112 ptlrpcd_01_51   R
  66903 122 ptlrpcd_01_52   R
  66904  87 ptlrpcd_01_53   R
  66905  75 ptlrpcd_01_54   R
  66906 120 ptlrpcd_01_55   R
  66907 123 ptlrpcd_01_56   R
  66908  85 ptlrpcd_01_57   R
  66909 106 ptlrpcd_01_58   I
  66910  94 ptlrpcd_01_59   R
  66911 116 ptlrpcd_01_60   I
  66912  85 ptlrpcd_01_61   I
  66913 116 ptlrpcd_01_62   R
  66914  71 ptlrpcd_01_63   I
  67440  37 monitor_ptlrpcd S
  67441   3 monitor_ptlrpcd S

--- 2025-05-26 02:06:20 ---
  66786  96 ptlrpcd_rcv     I
  66787  36 ptlrpcd_00_00   I
  66788  57 ptlrpcd_00_01   I
  66789  16 ptlrpcd_00_02   I
  66790  13 ptlrpcd_00_03   I
  66791  55 ptlrpcd_00_04   R
  66792  45 ptlrpcd_00_05   R
  66793   4 ptlrpcd_00_06   R
  66794  31 ptlrpcd_00_07   I
  66795  33 ptlrpcd_00_08   I
  66796  62 ptlrpcd_00_09   I
  66797  46 ptlrpcd_00_10   R
  66798  63 ptlrpcd_00_11   I
  66799  26 ptlrpcd_00_12   R
  66800  29 ptlrpcd_00_13   R
  66801  38 ptlrpcd_00_14   I
  66802  58 ptlrpcd_00_15   I
  66803  40 ptlrpcd_00_16   I
  66804  34 ptlrpcd_00_17   R
  66805  33 ptlrpcd_00_18   I
  66806  20 ptlrpcd_00_19   I
  66807   1 ptlrpcd_00_20   R
  66808  22 ptlrpcd_00_21   I
  66809  56 ptlrpcd_00_22   R
  66810   0 ptlrpcd_00_23   R
  66811  44 ptlrpcd_00_24   I
  66812   3 ptlrpcd_00_25   R
  66813  16 ptlrpcd_00_26   I
  66814  21 ptlrpcd_00_27   R
  66815  36 ptlrpcd_00_28   I
  66816  44 ptlrpcd_00_29   R
  66817  22 ptlrpcd_00_30   R
  66818  40 ptlrpcd_00_31   I
  66819  23 ptlrpcd_00_32   R
  66820  17 ptlrpcd_00_33   R
  66821  58 ptlrpcd_00_34   I
  66822   6 ptlrpcd_00_35   I
  66823  28 ptlrpcd_00_36   I
  66824  30 ptlrpcd_00_37   I
  66825  24 ptlrpcd_00_38   R
  66826  27 ptlrpcd_00_39   R
  66827  19 ptlrpcd_00_40   R
  66828  26 ptlrpcd_00_41   R
  66829  28 ptlrpcd_00_42   I
  66830  32 ptlrpcd_00_43   R
  66831  18 ptlrpcd_00_44   I
  66832  30 ptlrpcd_00_45   I
  66833  39 ptlrpcd_00_46   R
  66834  18 ptlrpcd_00_47   R
  66835  57 ptlrpcd_00_48   R
  66836   5 ptlrpcd_00_49   R
  66837  24 ptlrpcd_00_50   R
  66838  27 ptlrpcd_00_51   R
  66839  33 ptlrpcd_00_52   I
  66840  59 ptlrpcd_00_53   R
  66841  17 ptlrpcd_00_54   I
  66842  63 ptlrpcd_00_55   R
  66843  61 ptlrpcd_00_56   R
  66844  13 ptlrpcd_00_57   R
  66845  17 ptlrpcd_00_58   R
  66846  21 ptlrpcd_00_59   R
  66847  26 ptlrpcd_00_60   R
  66848  44 ptlrpcd_00_61   I
  66849  37 ptlrpcd_00_62   I
  66850  40 ptlrpcd_00_63   I
  66851 125 ptlrpcd_01_00   I
  66852 120 ptlrpcd_01_01   I
  66853  92 ptlrpcd_01_02   I
  66854 125 ptlrpcd_01_03   I
  66855 125 ptlrpcd_01_04   I
  66856 105 ptlrpcd_01_05   I
  66857 103 ptlrpcd_01_06   I
  66858 106 ptlrpcd_01_07   I
  66859  76 ptlrpcd_01_08   I
  66860  76 ptlrpcd_01_09   I
  66861 115 ptlrpcd_01_10   R
  66862 103 ptlrpcd_01_11   I
  66863 103 ptlrpcd_01_12   R
  66864  96 ptlrpcd_01_13   R
  66865 101 ptlrpcd_01_14   I
  66866  65 ptlrpcd_01_15   I
  66867 102 ptlrpcd_01_16   R
  66868 116 ptlrpcd_01_17   R
  66869 114 ptlrpcd_01_18   R
  66870 108 ptlrpcd_01_19   R
  66871  92 ptlrpcd_01_20   I
  66872  66 ptlrpcd_01_21   R
  66873 101 ptlrpcd_01_22   R
  66874 100 ptlrpcd_01_23   I
  66875 101 ptlrpcd_01_24   I
  66876 125 ptlrpcd_01_25   R
  66877  67 ptlrpcd_01_26   R
  66878 112 ptlrpcd_01_27   R
  66879 108 ptlrpcd_01_28   I
  66880 125 ptlrpcd_01_29   I
  66881  99 ptlrpcd_01_30   R
  66882 100 ptlrpcd_01_31   I
  66883 106 ptlrpcd_01_32   I
  66884 120 ptlrpcd_01_33   R
  66885 110 ptlrpcd_01_34   R
  66886  86 ptlrpcd_01_35   R
  66887  97 ptlrpcd_01_36   R
  66888 106 ptlrpcd_01_37   R
  66889 120 ptlrpcd_01_38   I
  66890 118 ptlrpcd_01_39   I
  66891  86 ptlrpcd_01_40   R
  66892  78 ptlrpcd_01_41   R
  66893  98 ptlrpcd_01_42   I
  66894  98 ptlrpcd_01_43   I
  66895  86 ptlrpcd_01_44   I
  66896 109 ptlrpcd_01_45   R
  66897  86 ptlrpcd_01_46   R
  66898  65 ptlrpcd_01_47   R
  66899 120 ptlrpcd_01_48   R
  66900 113 ptlrpcd_01_49   R
  66901 110 ptlrpcd_01_50   I
  66902  76 ptlrpcd_01_51   R
  66903  99 ptlrpcd_01_52   I
  66904 102 ptlrpcd_01_53   R
  66905  64 ptlrpcd_01_54   I
  66906  67 ptlrpcd_01_55   I
  66907  83 ptlrpcd_01_56   R
  66908  93 ptlrpcd_01_57   I
  66909  68 ptlrpcd_01_58   I
  66910 100 ptlrpcd_01_59   I
  66911  84 ptlrpcd_01_60   I
  66912 119 ptlrpcd_01_61   R
  66913  84 ptlrpcd_01_62   I
  66914  92 ptlrpcd_01_63   I
  67440  37 monitor_ptlrpcd S
  67441  33 monitor_ptlrpcd S

--- 2025-05-26 02:06:21 ---
  66786  96 ptlrpcd_rcv     I
  66787  11 ptlrpcd_00_00   I
  66788  52 ptlrpcd_00_01   I
  66789  13 ptlrpcd_00_02   R
  66790  44 ptlrpcd_00_03   I
  66791  26 ptlrpcd_00_04   R
  66792  47 ptlrpcd_00_05   R
  66793  44 ptlrpcd_00_06   R
  66794  28 ptlrpcd_00_07   R
  66795  44 ptlrpcd_00_08   I
  66796  42 ptlrpcd_00_09   I
  66797   1 ptlrpcd_00_10   R
  66798  46 ptlrpcd_00_11   R
  66799  46 ptlrpcd_00_12   I
  66800  42 ptlrpcd_00_13   I
  66801  35 ptlrpcd_00_14   I
  66802  27 ptlrpcd_00_15   I
  66803  30 ptlrpcd_00_16   I
  66804   9 ptlrpcd_00_17   R
  66805   7 ptlrpcd_00_18   I
  66806  38 ptlrpcd_00_19   I
  66807  28 ptlrpcd_00_20   I
  66808  23 ptlrpcd_00_21   I
  66809  30 ptlrpcd_00_22   I
  66810   5 ptlrpcd_00_23   I
  66811  35 ptlrpcd_00_24   I
  66812  22 ptlrpcd_00_25   I
  66813  52 ptlrpcd_00_26   I
  66814  54 ptlrpcd_00_27   I
  66815  32 ptlrpcd_00_28   I
  66816  49 ptlrpcd_00_29   I
  66817  35 ptlrpcd_00_30   R
  66818  49 ptlrpcd_00_31   I
  66819   6 ptlrpcd_00_32   R
  66820  23 ptlrpcd_00_33   R
  66821   7 ptlrpcd_00_34   I
  66822   6 ptlrpcd_00_35   R
  66823  51 ptlrpcd_00_36   R
  66824  22 ptlrpcd_00_37   I
  66825   0 ptlrpcd_00_38   I
  66826  49 ptlrpcd_00_39   R
  66827  57 ptlrpcd_00_40   R
  66828  62 ptlrpcd_00_41   R
  66829  52 ptlrpcd_00_42   I
  66830  49 ptlrpcd_00_43   I
  66831  16 ptlrpcd_00_44   I
  66832  35 ptlrpcd_00_45   I
  66833   0 ptlrpcd_00_46   R
  66834  58 ptlrpcd_00_47   I
  66835  16 ptlrpcd_00_48   I
  66836  23 ptlrpcd_00_49   I
  66837   0 ptlrpcd_00_50   I
  66838  23 ptlrpcd_00_51   I
  66839  43 ptlrpcd_00_52   I
  66840  13 ptlrpcd_00_53   I
  66841  30 ptlrpcd_00_54   I
  66842  23 ptlrpcd_00_55   I
  66843  16 ptlrpcd_00_56   I
  66844  54 ptlrpcd_00_57   I
  66845  14 ptlrpcd_00_58   R
  66846  25 ptlrpcd_00_59   I
  66847  43 ptlrpcd_00_60   R
  66848  41 ptlrpcd_00_61   I
  66849  22 ptlrpcd_00_62   I
  66850  55 ptlrpcd_00_63   I
  66851 108 ptlrpcd_01_00   I
  66852 103 ptlrpcd_01_01   R
  66853 124 ptlrpcd_01_02   I
  66854 101 ptlrpcd_01_03   R
  66855 113 ptlrpcd_01_04   I
  66856 123 ptlrpcd_01_05   I
  66857  86 ptlrpcd_01_06   I
  66858 108 ptlrpcd_01_07   I
  66859 121 ptlrpcd_01_08   I
  66860  74 ptlrpcd_01_09   R
  66861  97 ptlrpcd_01_10   I
  66862 116 ptlrpcd_01_11   I
  66863  97 ptlrpcd_01_12   I
  66864  72 ptlrpcd_01_13   R
  66865 126 ptlrpcd_01_14   R
  66866  99 ptlrpcd_01_15   R
  66867 113 ptlrpcd_01_16   R
  66868 108 ptlrpcd_01_17   I
  66869 121 ptlrpcd_01_18   R
  66870  71 ptlrpcd_01_19   I
  66871  91 ptlrpcd_01_20   R
  66872  75 ptlrpcd_01_21   R
  66873 121 ptlrpcd_01_22   R
  66874 110 ptlrpcd_01_23   I
  66875 120 ptlrpcd_01_24   R
  66876  70 ptlrpcd_01_25   R
  66877 121 ptlrpcd_01_26   R
  66878 113 ptlrpcd_01_27   I
  66879 110 ptlrpcd_01_28   I
  66880  71 ptlrpcd_01_29   I
  66881  73 ptlrpcd_01_30   I
  66882  83 ptlrpcd_01_31   R
  66883  89 ptlrpcd_01_32   I
  66884 110 ptlrpcd_01_33   I
  66885 126 ptlrpcd_01_34   I
  66886  89 ptlrpcd_01_35   I
  66887 116 ptlrpcd_01_36   I
  66888 109 ptlrpcd_01_37   R
  66889 115 ptlrpcd_01_38   R
  66890 116 ptlrpcd_01_39   I
  66891 114 ptlrpcd_01_40   R
  66892  73 ptlrpcd_01_41   R
  66893  95 ptlrpcd_01_42   I
  66894 123 ptlrpcd_01_43   I
  66895  97 ptlrpcd_01_44   I
  66896  89 ptlrpcd_01_45   I
  66897  76 ptlrpcd_01_46   I
  66898  97 ptlrpcd_01_47   I
  66899  81 ptlrpcd_01_48   I
  66900 121 ptlrpcd_01_49   I
  66901  96 ptlrpcd_01_50   I
  66902  81 ptlrpcd_01_51   I
  66903 121 ptlrpcd_01_52   R
  66904 112 ptlrpcd_01_53   I
  66905  67 ptlrpcd_01_54   I
  66906  71 ptlrpcd_01_55   I
  66907  65 ptlrpcd_01_56   I
  66908 110 ptlrpcd_01_57   I
  66909  87 ptlrpcd_01_58   R
  66910 113 ptlrpcd_01_59   I
  66911  97 ptlrpcd_01_60   I
  66912  89 ptlrpcd_01_61   R
  66913  76 ptlrpcd_01_62   R
  66914 121 ptlrpcd_01_63   I
  67440  37 monitor_ptlrpcd S
  67441  34 monitor_ptlrpcd S

--- 2025-05-26 02:06:22 ---
  66786  96 ptlrpcd_rcv     I
  66787  37 ptlrpcd_00_00   I
  66788  56 ptlrpcd_00_01   R
  66789  44 ptlrpcd_00_02   R
  66790  44 ptlrpcd_00_03   R
  66791  23 ptlrpcd_00_04   R
  66792  22 ptlrpcd_00_05   R
  66793  39 ptlrpcd_00_06   R
  66794  29 ptlrpcd_00_07   I
  66795  35 ptlrpcd_00_08   R
  66796  34 ptlrpcd_00_09   I
  66797  41 ptlrpcd_00_10   R
  66798  41 ptlrpcd_00_11   I
  66799  34 ptlrpcd_00_12   I
  66800  57 ptlrpcd_00_13   R
  66801  57 ptlrpcd_00_14   I
  66802  62 ptlrpcd_00_15   R
  66803  20 ptlrpcd_00_16   R
  66804  60 ptlrpcd_00_17   I
  66805  16 ptlrpcd_00_18   R
  66806  31 ptlrpcd_00_19   I
  66807  60 ptlrpcd_00_20   R
  66808  11 ptlrpcd_00_21   I
  66809  17 ptlrpcd_00_22   R
  66810  16 ptlrpcd_00_23   I
  66811  45 ptlrpcd_00_24   I
  66812  16 ptlrpcd_00_25   I
  66813  29 ptlrpcd_00_26   I
  66814  23 ptlrpcd_00_27   I
  66815  37 ptlrpcd_00_28   I
  66816  30 ptlrpcd_00_29   R
  66817  13 ptlrpcd_00_30   I
  66818  35 ptlrpcd_00_31   I
  66819  61 ptlrpcd_00_32   I
  66820  61 ptlrpcd_00_33   I
  66821  37 ptlrpcd_00_34   I
  66822  29 ptlrpcd_00_35   I
  66823  51 ptlrpcd_00_36   R
  66824  27 ptlrpcd_00_37   I
  66825  59 ptlrpcd_00_38   I
  66826  44 ptlrpcd_00_39   R
  66827  44 ptlrpcd_00_40   R
  66828  63 ptlrpcd_00_41   I
  66829  27 ptlrpcd_00_42   I
  66830   5 ptlrpcd_00_43   I
  66831  55 ptlrpcd_00_44   I
  66832  31 ptlrpcd_00_45   R
  66833  28 ptlrpcd_00_46   R
  66834  23 ptlrpcd_00_47   I
  66835   9 ptlrpcd_00_48   I
  66836  45 ptlrpcd_00_49   R
  66837  33 ptlrpcd_00_50   I
  66838  63 ptlrpcd_00_51   I
  66839  61 ptlrpcd_00_52   I
  66840  59 ptlrpcd_00_53   R
  66841  40 ptlrpcd_00_54   R
  66842  40 ptlrpcd_00_55   R
  66843  21 ptlrpcd_00_56   R
  66844  25 ptlrpcd_00_57   R
  66845  27 ptlrpcd_00_58   I
  66846  21 ptlrpcd_00_59   R
  66847   9 ptlrpcd_00_60   I
  66848  27 ptlrpcd_00_61   I
  66849  42 ptlrpcd_00_62   I
  66850  42 ptlrpcd_00_63   I
  66851 124 ptlrpcd_01_00   R
  66852  69 ptlrpcd_01_01   R
  66853 114 ptlrpcd_01_02   R
  66854  65 ptlrpcd_01_03   R
  66855  99 ptlrpcd_01_04   I
  66856 103 ptlrpcd_01_05   R
  66857  94 ptlrpcd_01_06   I
